domain,service_name,description,expertise_areas
People & Workforce,HR Consulting,Complete HR solutions including recruitment strategy and organizational design,HR strategy; Recruitment; Organizational design; Talent management
People & Workforce,Payroll Management,End-to-end payroll solutions and compliance,Payroll processing; Compliance; Statutory reporting
People & Workforce,Recruitment & Executive Search,Finding and placing the right talent,Executive search; Recruitment; Talent acquisition; Headhunting
People & Workforce,Employment Law & EOR,Employment compliance and Employer of Record services,Employment law; EOR; Compliance; Worker classification
People & Workforce,Workforce Planning,Strategic workforce analysis and planning,Workforce analytics; Capacity planning; Cost optimization
Finance & Compliance,Financial Advisory,Strategic financial guidance and planning,Financial planning; Strategic advisory; CFO services
Finance & Compliance,Tax Planning & Compliance,Comprehensive tax solutions and compliance,Tax strategy; GST; Income tax; Tax compliance
Finance & Compliance,Legal & Regulatory,Legal expertise and regulatory compliance,Legal consulting; Regulatory compliance; Corporate law
Finance & Compliance,Audit & Assurance,Financial audit and assurance services,Financial audit; Internal audit; Assurance
Finance & Compliance,Accounting & Bookkeeping,Full accounting and bookkeeping support,Accounting; Bookkeeping; Financial reporting
Technology & Growth,Digital Transformation,End-to-end digital transformation consulting,Digital strategy; Process automation; Digital operations
Technology & Growth,IT Consulting,Strategic IT and technology solutions,IT strategy; Infrastructure; Systems design
Technology & Growth,AI & Data Science,AI implementation and data-driven insights,Machine learning; Data analytics; AI strategy
Technology & Growth,Business Strategy,Strategic business consulting and growth planning,Business strategy; Growth planning; Market analysis; Execution support
Technology & Growth,Innovation & Product,Innovation and product development strategy,Product development; Innovation strategy; Go-to-market
